Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
78648671844,Julkisten ja hyvinvointialojen liitto JHL,Julkisten ja hyvinvointialojen liitto JHL,1741,6
249421507648,Uudenmaan Kokoomus,Uudenmaan Kokoomus,1479,75
60390955171,Vasemmistoliitto,Vasemmistoliitto,1252,11
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,1229,8
105546059081795,Susanne Päivärinta,Susanne Päivärinta,938,9
201285237101,Kokoomus,Kokoomus,928,58
55312855747,Keskusta,Suomen Keskusta r.p.,755,8
123692197698005,Suomen UN Women,Suomen UN Women,570,9
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,555,5
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,494,32
1938803856245961,Kaisa Garedew PS,Kaisa Garedew,391,29
153558701328768,Helsingin Vasemmisto,Helsingin Vasemmistoliitto ry,380,8
696021337144506,Mai Kivelä,Mai Elviira Kivelä,364,6
309459326150013,Teollisuusliitto,Teollisuusliitto,340,29
147150828677414,Ulkoministeriö - utrikesministeriet,Ulkoministeriö - utrikesministeriet,337,6
1504918263070191,Reetta Vanhanen,Vanhanen Reetta Leena,325,5
119054448115588,WWF Suomi,WWF Suomi,320,81
100649398595134,Emma-Stina Vehmanen,Emma-Stina Vehmanen,260,5
233935341288514,Elisa Aaltola,Elisa Aaltola,239,5
1357638954294467,Fatim Diarra,Fatim Diarra,238,19
102308838569653,Tuomas Sorsa PS,Tuomas Sorsa,234,25
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,233,13
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,221,30
505419049469417,Mari Holopainen,Mari Holopainen,219,18
141305472602496,Sähköliitto,Sähköalojen ammattiliitto,216,50
9227859351,Greenpeace Suomi,Greenpeace Suomi,215,87
250829455020050,Saara Hyrkkö,Saara Hyrkkö,197,35
54313274188,Naisten Pankki,Naisten Pankki,197,62
1418717018381086,Tere Sammallahti - Kokoomus - Uusimaa,Tere Sammallahti - Kokoomus - Uusimaa,181,10
134934386349,Amnesty International - Suomen osasto,These ads ran without a disclaimer,179,9
139646119495925,Matti Niiranen,Matti Niiranen,178,1
108417008779964,Lasse Lehtonen,Vastuullisen Hyvinvointipolitiikan Edistämisyhdistys ry.,175,8
119502622788617,Rakennusteollisuus RT,Rakennusteollisuus RT,173,16
332170236842216,Vattenfall,Vattenfall Oy,170,3
274800030869,Pohjanmaan Kokoomus,Pohjanmaan Kokoomus,170,16
860106373999721,Elina Valtonen,Elina Valtonen,169,13
144929502245831,Sosiaalialan korkeakoulutettujen ammattijärjestö Talentia ry,Sosiaalialan korkeakoulutettujen ammattijärjestö Talentia ry,161,4
463085777048015,Sami Ristiniemi Eduskuntaan,Sami Ristiniemen Tuki Ry,159,6
105204505765329,SFP Samkretsen - RKP:n Yhteispiiri,SFP Samkretsen - RKP:n Yhteispiiri,158,10
298060500819,Kainuun Kokoomus,Kainuun Kokoomus ry,156,6
1631165890489545,Gasum,Gasum Oy,155,14
221546168309213,Petri Nieminen - Ympäristön ja ihmisen asialla,Petri Nieminen,146,2
266912807301110,Petra Schulze Steinen,Schulze-Steinen Petra Elina Marjatta,143,5
448116415229902,Henrik Wickström,Wickström 2019,142,16
128816413815084,Vihreät Naiset ry,Vihreät naiset ry,142,8
103713019226731,Atte Savelainen,Atte Heikki Savelainen,141,3
113957098615260,Keski-Suomen Vihreät,Keski-Suomen Vihreät,141,25
100451762088480,Juha Suoniemi PS,Juha Suoniemi,141,1
109502471927588,Luontolista,Luontolista,141,6
103951659288683,Martin Paasi Eduskuntaan 2023,Aatos Martin Paasi,139,6
474077585941967,Kai Lintunen - Osaava edustajasi,Kai Lintunen - Osaava edustajasi,138,30
100827645122256,Anniina Iskanius,Anniina Iskanius,136,15
106582254757355,Tuukka Saimen,Tuukka Saimèn,133,8
144821005614879,SFP i Nyland - RKP Uusimaa,Svenska folkpartiet i Nyland,132,46
