Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
78648671844,Julkisten ja hyvinvointialojen liitto JHL,Julkisten ja hyvinvointialojen liitto JHL,1553,6
60390955171,Vasemmistoliitto,Vasemmistoliitto,1357,11
249421507648,Uudenmaan Kokoomus,Uudenmaan Kokoomus,1279,72
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,1088,5
201285237101,Kokoomus,Kokoomus,894,57
696021337144506,Mai Kivelä,Mai Elviira Kivelä,892,6
55312855747,Keskusta,Suomen Keskusta r.p.,712,8
123692197698005,Suomen UN Women,Suomen UN Women,577,9
7692825311,Suomen World Vision,Suomen World Vision,555,4
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,448,32
153558701328768,Helsingin Vasemmisto,Helsingin Vasemmistoliitto ry,348,9
309459326150013,Teollisuusliitto,Teollisuusliitto,340,41
147150828677414,Ulkoministeriö - utrikesministeriet,Ulkoministeriö - utrikesministeriet,307,7
1504918263070191,Reetta Vanhanen,Vanhanen Reetta Leena,295,4
119054448115588,WWF Suomi,WWF Suomi,279,81
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,239,9
105546059081795,Susanne Päivärinta,Susanne Päivärinta,238,1
1938803856245961,Kaisa Garedew PS,Kaisa Garedew,221,30
102308838569653,Tuomas Sorsa PS,Tuomas Sorsa,219,24
100649398595134,Emma-Stina Vehmanen,Emma-Stina Vehmanen,217,3
9227859351,Greenpeace Suomi,Greenpeace Suomi,215,84
108417008779964,Lasse Lehtonen,Vastuullisen Hyvinvointipolitiikan Edistämisyhdistys ry.,202,9
231250833663601,SDP Helsinki,Helsingin Sosialidemokraatit ry,196,10
139646119495925,Matti Niiranen,Matti Niiranen,196,1
141305472602496,Sähköliitto,Sähköalojen ammattiliitto,189,48
54313274188,Naisten Pankki,Naisten Pankki,184,74
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,181,34
104537989034024,Timo Väänänen,Timo Väänänen,176,4
298060500819,Kainuun Kokoomus,Kainuun Kokoomus ry,173,8
271311152007,Plan International Suomi,Plan International Suomi,169,40
109502471927588,Luontolista,Luontolista,168,5
860106373999721,Elina Valtonen,Elina Valtonen,168,13
1418717018381086,Tere Sammallahti - Kokoomus - Uusimaa,Tere Sammallahti - Kokoomus - Uusimaa,164,10
505419049469417,Mari Holopainen,Mari Holopainen,164,17
119502622788617,Rakennusteollisuus RT,Rakennusteollisuus RT,161,16
274800030869,Pohjanmaan Kokoomus,Pohjanmaan Kokoomus,158,16
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,152,13
329520117139440,Jaakko Mustakallio,Jaakko Mustakallio,146,9
105204505765329,SFP Samkretsen - RKP:n Yhteispiiri,SFP Samkretsen - RKP:n Yhteispiiri,146,10
