id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
004f1a9e-0fea-488c-90a0-f84a5ff99341,Teija Makkonen,2022-08-16T15:24:30.963Z,172b7d4e-971e-42e9-97ba-49da5d5f6bb4,MUUT,true,true,Finland,fi,421634078605358,Teija Makkonen,Facebook
01c41e94-e1c8-4dd2-b290-b51d9072c682,Kausti Rantalainen,2022-08-16T15:24:14.612Z,883a68b5-2dec-447e-ae5b-69ea46fdcd59,MUUT,true,true,Finland,fi,146506465868773,Kausti Rantalainen,Facebook
03cdf01b-d5b3-4764-b04c-38d3486ec0de,Asta Silvanne,2022-08-16T15:24:25.531Z,45fa60b6-49c4-4e79-8062-47d063f9a0a9,MUUT,true,true,Finland,fi,2046860245361420,Asta Silvanne,Facebook
07b6ec86-d743-4cca-a187-b05b7bccd84d,Teppo Honkasalo,2022-08-16T15:24:22.623Z,a2ab6ee8-dfd4-4053-a009-07babc5a2ed8,MUUT,true,true,Finland,fi,1079120732105130,Teppo Honkasalo,Facebook
08d0eedd-11aa-413a-b695-52319c7a58de,"Petteri Redsven eduskuntavaaliehdokas, Liike Nyt, Hämeen piiri",2023-03-08T10:52:06.983Z,6aa75fe0-1760-489b-acd8-1771669bca2c,MUUT,true,true,Finland,fi,101340986172248,"Petteri Redsven eduskuntavaaliehdokas, Liike Nyt, Hämeen piiri",Facebook
0a280e3a-dd8d-4b3f-bace-bb84f2397a46,Helsingin piraatit,2022-08-16T15:24:30.833Z,35bafbc8-2354-45d0-b85a-b0f7b04c4491,MUUT,true,true,Finland,fi,109797725732582,Helsingin piraatit,Facebook
0ba4572f-4246-4d2f-9f85-f71feba1df59,Ari-matti Hopiavuori,2022-08-16T15:24:26.359Z,fe84e555-c4f3-4f17-ae02-c4f119e29668,MUUT,true,true,Finland,fi,391580941635638,Ari-matti Hopiavuori,Facebook
0bd53191-9865-446f-a22c-b23af6c424c2,Asanti Owusu,2022-08-16T15:24:32.362Z,333030f6-1ed0-4f43-bc90-647b48e17035,MUUT,true,true,Finland,fi,174667133018154,Asanti Owusu,Facebook
0cdccea2-5795-422b-b92d-ec572d91f9a9,Aki Kivirinta,2022-08-16T15:24:12.771Z,5c8ac524-6cd9-404e-b76c-1a54743e576a,MUUT,true,true,Finland,fi,528485287591765,Aki Kivirinta,Facebook
0e6d7741-0ee9-4e50-867e-b10e90dc5629,Ilja Janitskin,2022-08-16T15:24:19.657Z,3c583a43-d1a4-4db3-ae4d-570dd16f2e63,MUUT,true,true,Finland,fi,2210738758951010,Ilja Janitskin,Facebook
1013560c-cd74-43db-a828-e0f0dfaba015,Petri Antikainen,2022-08-16T15:24:15.618Z,2d60492a-d611-4b74-b3d0-e824ca37995f,MUUT,true,true,Finland,fi,304801220235804,Petri Antikainen,Facebook
10518c1f-6c6b-405e-8c96-2c8742640a45,Ville Hippi,2022-08-16T15:24:22.614Z,053cd185-b95e-4bde-89fb-e0d7e02b5a1c,MUUT,true,true,Finland,fi,427492761360609,Ville Hippi,Facebook
10a04c07-e97f-4701-ad86-b8f23d2220b5,Tiedonantaja -lehti,2022-08-16T15:24:18.583Z,a0c060b4-4f46-4425-8089-512f03762929,MUUT,true,true,Finland,fi,184384013991,Tiedonantaja -lehti,Facebook
1115426b-a22c-49cb-84bd-16de6d0e1015,Piraattipuolue,2022-08-16T15:24:12.340Z,ff79d055-1a73-48b5-afc9-0ea4e11eff06,MUUT,true,true,Finland,fi,18919657783,Piraattipuolue,Facebook
11e6a000-2e4a-4a0f-a0b9-5fc057f24a74,Jukka Karhu,2022-08-16T15:24:14.375Z,3faf6ef7-909d-492e-abf5-c4d6e2b344b8,MUUT,true,true,Finland,fi,235606987335181,Jukka Karhu,Facebook
1219b2a1-f322-4d4c-a953-9629fbb0df7e,Richard Andersson,2022-08-16T15:24:20.744Z,55b165b5-452b-4ccd-a5b2-df99914ae975,MUUT,true,true,Finland,fi,1132366116893130,Richard Andersson,Facebook
